,0,1,2,3,4,5,6,7,8,9,10,11
124,2353283,Ziguibéri	Ziguiberi		14.70817	-0.03178	S	CMP	BF		12	33			0		271	Africa/Ouagadougou	2010-07-31,,,,,,,,,,
125,2353284,Ziguénoguen	Ziguenoguen		12.33333	-0.71667	P	PPL	BF		11				0		297	Africa/Ouagadougou	2012-06-05,,,,,,,,,,
126,2353285,Zigo	Zigo		12.39247	-1.78693	P	PPL	BF		11				0		337	Africa/Ouagadougou	2018-08-07,,,,,,,,,,
127,2353286,Zigla Polosé	Zigla Polose		11.7	-0.63333	P	PPL	BF		04				0		271	Africa/Ouagadougou	2012-06-05,,,,,,,,,,
128,2353287,Zigla Pakala	Zigla Pakala		11.75	-0.58333	P	PPL	BF		04				0		275	Africa/Ouagadougou	2012-06-05,,,,,,,,,,
129,2353288,"Zigla Koulpélé	Zigla Koulpele	Zigla Koulpele,Zigla Koulpélé	11.71667	-0.63333	P	PPL	BF		04				0		277	Africa/Ouagadougou	2018-11",06,,,,,,,,,
130,2353289,Zigla	Zigla		11.65	-1.01667	P	PPL	BF		07				0		279	Africa/Ouagadougou	2012-06-05,,,,,,,,,,
131,2353290,"Forêt Classée de Ziga	Foret Classee de Ziga	Foret Classee de Ziga,Foret de Ziga,Forêt Classée de Ziga,Forêt de Ziga	12.47106	-1",08644	L	RES,,F		1,,0,26,frica/,aga,ougou	2018-12-04,
132,2353291,Ziga	Ziga		13.41604	-2.31252	P	PPL	BF		10	76			0		338	Africa/Ouagadougou	2010-07-31,,,,,,,,,,
133,2353292,Ziga	Ziga	Ziga	12.61075	-0.83311	P	PPL	BF		05				0		356	Africa/Ouagadougou	2013-02-08,,,,,,,,,,
134,2353293,Ziga	Ziga		12.56475	-1.11204	P	PPL	BF		11	68			0		282	Africa/Ouagadougou	2018-09-05,,,,,,,,,,
135,2353294,"Ziga	Ziga	Diga,Ziga	12.36667	-3.8	P	PPL	BF		01				0		270	Africa/Ouagadougou	2012-06-05",,,,,,,,,,
136,2353295,"Zenem Tanga	Zenem Tanga	Zenem Tanga,Zieneme Tanga,Ziénème Tanga	13.71411	-2.62378	T	SCRP	BF		10	76			0		336	Africa/Ouagadougou",012-01-18,,,,,,,,,
137,2353296,"Ziédougou	Ziedougou	Ziedougou,Ziédougou	10.41667	-5.05	P	PPL	BF		02				0		306	Africa/Ouagadougou	2012-06-05",,,,,,,,,,
138,2353297,Zibtenga	Zibtenga		12.88333	-0.9	P	PPL	BF		05				0		326	Africa/Ouagadougou	2012-06-05,,,,,,,,,,
139,2353298,Zibri Koulibila	Zibri Koulibila		12.6257	-1.04929	H	STMI	BF		11				0		268	Africa/Ouagadougou	2018-09-05,,,,,,,,,,
140,2353299,Zibri	Zibri		12.62495	-1.00823	P	PPL	BF		11				0		286	Africa/Ouagadougou	2018-09-05,,,,,,,,,,
141,2353300,"Zibako	Zibako	Zibako,Zibalko,Ziboko	12.55132	-1.64205	P	PPL	BF		03				0		312	Africa/Ouagadougou	2018-08-07",,,,,,,,,,
142,2353301,Ziasso	Ziasso		12.15	-3.33333	P	PPL	BF		01				0		290	Africa/Ouagadougou	2012-06-05,,,,,,,,,,
143,2353302,"Zambélé	Zambele	Zambele,Zambélé,Ziammbele,Ziammbélé	13.01424	-2.21426	P	PPL	BF		10	76			0		321	Africa/Ouagadougou	2012-01-18",,,,,,,,,,
144,2353303,Zèy Bala	Zey Bala		14.98215	-0.61496	S	CMP	BF		12	33			0		255	Africa/Ouagadougou	2013-09-06,,,,,,,,,,
145,2353304,Zétonasso	Zetonasso		11.27755	-5.22688	P	PPLQ	BF		09	54			0		402	Africa/Ouagadougou	2010-07-31,,,,,,,,,,
146,2353305,Zétgomdé	Zetgomde		12.5	-0.71667	P	PPL	BF		11				0		314	Africa/Ouagadougou	2012-06-05,,,,,,,,,,
147,2353306,"Gounghin	Gounghin	Gounghin,Gounguen,Zetenga,Zétenga	12.06677	-1.42134	P	PPL	BF		07	47			0		311	Africa/Ouagadougou	2018-12-04",,,,,,,,,,
148,2353307,Zèsa	Zesa		12.71667	-2.45	P	PPL	BF		10				0		291	Africa/Ouagadougou	2012-06-05,,,,,,,,,,
149,2353308,Zérounda	Zerounda		12.86985	-1.93915	P	PPL	BF		10				0		311	Africa/Ouagadougou	2018-08-07,,,,,,,,,,
150,2353309,Zerkoum	Zerkoum	Zerkoum	12.38333	-2.06667	P	PPL	BF		06				0		313	Africa/Ouagadougou	2012-06-05,,,,,,,,,,
151,2353310,Zerkom	Zerkom		12.23616	-1.95317	P	PPL	BF		06				0		329	Africa/Ouagadougou	2018-08-07,,,,,,,,,,
152,2353311,Zérédéguen	Zeredeguen		13.07382	-1.14553	P	PPL	BF		05	70			0		329	Africa/Ouagadougou	2010-07-31,,,,,,,,,,
153,2353312,Zérébougou	Zerebougou		11	-0.58333	P	PPL	BF		04				0		250	Africa/Ouagadougou	2012-06-05,,,,,,,,,,
154,2353313,Zéoulé	Zeoule		12.26667	-3.53333	P	PPL	BF		01				0		304	Africa/Ouagadougou	2012-06-05,,,,,,,,,,
155,2353314,Zéoula	Zeoula		12.26667	-3.48333	P	PPL	BF		01				0		303	Africa/Ouagadougou	2012-06-05,,,,,,,,,,
156,2353315,Zennloua	Zennloua		11.88333	-1.96667	P	PPL	BF		06				0		337	Africa/Ouagadougou	2012-06-05,,,,,,,,,,
157,2353316,"Zénin	Zenin	Zenin,Zenion,Zénin,Zénion	11.86667	-2.48333	P	PPL	BF		06				0		290	Africa/Ouagadougou	2012-06-05",,,,,,,,,,
158,2353317,Zénédéré	Zenedere		12.76667	-2.2	P	PPL	BF		10				0		338	Africa/Ouagadougou	2012-06-05,,,,,,,,,,
159,2353318,Zemtoéga	Zemtoega		11.76667	-1.28333	P	PPL	BF		07				0		309	Africa/Ouagadougou	2012-06-05,,,,,,,,,,
